name,pos,roster_name,mlbam_id,bbref_id
Max Muncy,3B,Max Muncy,691777,muncyma02
Shohei Ohtani,TWP,Shohei Ohtani,660271,ohtansh01
Freddie Freeman,1B,Freddie Freeman,518692,freemfr01
Dalton Rushing,C,Dalton Rushing,687221,rushida01
Kyle Tucker,RF,Kyle Tucker,663656,tuckeky01
Mookie Betts,SS,Mookie Betts,605141,bettsmo01
Alex Call,RF,Alex Call,669743,callal02
Santiago Espinal,3B,Santiago Espinal,669289,espinsa01
Alex Freeland,2B,Alex Freeland,690976,freelal01
Teoscar Hernández,RF,Teoscar Hernández,606192,hernate01
Hyeseong Kim,2B,Hyeseong Kim,808975,kimhy02
Andy Pages,CF,Andy Pages,681624,pagesan01
Miguel Rojas,2B,Miguel Rojas,500743,rojasmi02
Will Smith,C,Will Smith,669257,smithwi05
